n,p,a,heuristic,solution,OF,seconds
400,20,2,pdp_based,"{2, 326, 263, 328, 329, 399, 16, 89, 169, 106, 298, 170, 111, 112, 369, 50, 51, 244, 53, 243}",312,0.0562411000000224
400,20,2,pdp_based,"{256, 71, 393, 332, 205, 76, 268, 83, 342, 23, 280, 219, 285, 31, 235, 113, 50, 249, 382, 383}",276,0.0574202000000241
400,20,2,pdp_based,"{66, 68, 198, 74, 395, 397, 399, 16, 81, 209, 347, 164, 165, 36, 102, 356, 298, 170, 236, 181}",348,0.0537185999999678
400,20,2,pdp_based,"{261, 8, 201, 202, 13, 22, 281, 155, 222, 289, 39, 299, 236, 237, 300, 112, 48, 246, 185, 319}",359,0.0570716999999945
400,20,2,pdp_based,"{1, 259, 325, 198, 134, 201, 204, 77, 78, 208, 215, 157, 93, 290, 34, 354, 106, 176, 113, 380}",343,0.056023400000015
400,20,2,pdp_based,"{391, 10, 13, 77, 271, 16, 17, 274, 144, 84, 20, 276, 151, 89, 159, 32, 165, 233, 111, 122}",276,0.0583487000000104
400,20,2,pdp_based,"{1, 385, 387, 261, 390, 135, 71, 393, 330, 139, 13, 206, 205, 282, 32, 225, 112, 244, 182, 379}",284,0.0583753999999885
400,20,3,pdp_based,"{194, 324, 261, 200, 267, 142, 219, 220, 29, 33, 230, 297, 301, 370, 243, 125, 122, 187, 253, 126}",409,0.0693304999999782
400,20,3,pdp_based,"{321, 70, 11, 274, 83, 85, 22, 86, 150, 88, 223, 357, 37, 233, 361, 364, 108, 306, 186, 60}",353,0.0569914000000153
400,20,3,pdp_based,"{194, 195, 197, 198, 396, 397, 398, 271, 205, 337, 145, 283, 349, 354, 294, 41, 114, 181, 315, 317}",400,0.0572827999999958
400,20,3,pdp_based,"{64, 322, 259, 3, 197, 201, 75, 334, 15, 216, 25, 32, 289, 290, 298, 112, 113, 115, 123, 63}",386,0.0556336999999871
400,20,3,pdp_based,"{320, 192, 322, 261, 135, 138, 139, 345, 89, 162, 291, 292, 231, 44, 45, 242, 179, 53, 254, 255}",350,0.0597925000000145
400,20,3,pdp_based,"{131, 68, 69, 76, 205, 206, 336, 148, 343, 88, 352, 353, 170, 365, 46, 239, 47, 238, 175, 307}",377,0.0539380000000164
400,20,3,pdp_based,"{322, 4, 394, 395, 269, 206, 16, 147, 22, 155, 220, 284, 352, 354, 292, 176, 49, 180, 182, 58}",357,0.0576384999999959
400,20,3,pdp_based,"{67, 68, 319, 330, 211, 20, 155, 28, 225, 163, 164, 229, 111, 113, 371, 247, 250, 379, 188, 63}",422,0.0538917999999739
400,20,3,pdp_based,"{66, 132, 391, 11, 140, 207, 24, 284, 231, 364, 174, 368, 48, 178, 241, 252, 377, 378, 188, 253}",372,0.0592675000000326
400,20,3,pdp_based,"{320, 330, 206, 209, 147, 148, 151, 154, 90, 352, 169, 300, 47, 177, 243, 308, 183, 377, 188, 253}",471,0.0585148999999773
400,20,3,pdp_based,"{256, 258, 134, 327, 200, 75, 399, 272, 21, 284, 349, 285, 160, 33, 353, 295, 234, 235, 364, 308}",365,0.0525656999999455
400,20,3,pdp_based,"{192, 134, 327, 12, 214, 345, 92, 93, 284, 349, 289, 290, 357, 360, 297, 169, 307, 119, 314, 61}",377,0.0546411999999918
400,20,3,pdp_based,"{389, 10, 143, 84, 278, 348, 220, 92, 223, 224, 293, 358, 230, 234, 235, 300, 302, 113, 116, 186}",347,0.0555304999999748
400,20,3,pdp_based,"{2, 326, 263, 328, 329, 399, 16, 89, 169, 106, 298, 170, 111, 112, 369, 50, 51, 244, 53, 243}",397,0.075509199999999
400,20,3,pdp_based,"{256, 71, 393, 332, 205, 76, 268, 83, 342, 23, 280, 219, 285, 31, 235, 113, 50, 249, 382, 383}",354,0.0939878000000362
400,20,3,pdp_based,"{66, 68, 198, 74, 395, 397, 399, 16, 81, 209, 347, 164, 165, 36, 102, 356, 298, 170, 236, 181}",406,0.0740057999999521
400,20,3,pdp_based,"{261, 8, 201, 202, 13, 22, 281, 155, 222, 289, 39, 299, 236, 237, 300, 112, 48, 246, 185, 319}",390,0.0939238999999929
400,20,3,pdp_based,"{1, 259, 325, 198, 134, 201, 204, 77, 78, 208, 215, 157, 93, 290, 34, 354, 106, 176, 113, 380}",375,0.0733998999999698
400,20,3,pdp_based,"{391, 10, 13, 77, 271, 16, 17, 274, 144, 84, 20, 276, 151, 89, 159, 32, 165, 233, 111, 122}",372,0.0643959000000222
400,20,3,pdp_based,"{1, 385, 387, 261, 390, 135, 71, 393, 330, 139, 13, 206, 205, 282, 32, 225, 112, 244, 182, 379}",341,0.0973842999999874
