OF,OF,OF,OF,seconds,seconds
pdp,greedy,absolute,%,pdp,greedy
307.0,304.0,3,0.9771986970684038,0.0716399000000365,45.30797969999912
292.0,350.0,-58,-19.863013698630137,0.102789400000006,42.23503260000143
310.0,309.0,1,0.3225806451612903,0.1252101000000038,50.214393199999904
294.0,426.0,-132,-44.89795918367347,0.0515835000000493,45.90969699999914
317.0,297.0,20,6.309148264984227,0.0577933000000143,48.00993759999983
297.0,358.0,-61,-20.53872053872054,0.0491261000000236,51.16775469999993
328.0,336.0,-8,-2.4390243902439024,0.0511104999999929,45.846794999999474
323.0,354.0,-31,-9.597523219814242,0.0504844999999818,45.35929319999923
275.0,362.0,-87,-31.636363636363633,0.0527071000000205,49.7583924999999
339.0,341.0,-2,-0.5899705014749262,0.0621763999999984,50.71155879999969
304.0,277.0,27,8.881578947368421,0.0542502999999783,48.21212340000056
324.0,362.0,-38,-11.728395061728394,0.057710400000019,51.08332840000003
294.0,315.0,-21,-7.142857142857142,0.0534675000000106,50.27951249999933
312.0,336.0,-24,-7.6923076923076925,0.0562411000000224,58.75891979999869
276.0,308.0,-32,-11.594202898550725,0.0574202000000241,55.48405660000026
348.0,302.0,46,13.218390804597702,0.0537185999999678,52.85926199999994
359.0,299.0,60,16.71309192200557,0.0570716999999945,44.19482269999935
343.0,348.0,-5,-1.4577259475218658,0.056023400000015,50.25200720000066
276.0,348.0,-72,-26.08695652173913,0.0583487000000104,38.37476500000048
284.0,270.0,14,4.929577464788732,0.0583753999999885,43.11187750000136
13.0,7.0,,,,
310.1,330.1,-20.0,-7.195672684382572,0.06186240500000789,48.35657546999992
